1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,0,turn on the lights
0,1,set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
1,1,turn on the lights and set your alarm
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all
0,0,this is not an intent at all